brand,name,price_usd,price_bdt,image_url,capacity_gb,ddr_generation,speed_mhz,modules,cas_latency,color,price_per_gb
Crucial,Crucial CT8G4DFRA32A 8 GB,25.72,3472.2,,8,DDR4,3200,"1,8",22,Green,3.215
G.Skill,G.Skill Trident Z5 Neo RGB 64 GB,349.99,47248.65,,64,DDR5,6000,"2,32",26,White / Black,5.469
Klevv,Klevv CRAS V RGB 32 GB,,,,32,DDR5,6000,"2,16",30,Black,
G.Skill,G.Skill Trident Z RGB 32 GB,79.0,10665.0,,32,DDR4,3200,"4,8",16,Black,2.469
GOODRAM,GOODRAM IRDM 32 GB,,,,32,DDR5,6000,"2,16",30,Black,
Patriot,Patriot Viper 3 16 GB,25.99,3508.65,,16,DDR3,1866,"2,8",10,Black / Silver,1.624
Patriot,Patriot Viper Venom 32 GB,94.99,12823.65,,32,DDR5,6000,"1,32",30,Black / White,2.968
Corsair,Corsair Dominator Titanium 64 GB,377.99,51028.65,,64,DDR5,6400,"4,16",32,White,5.906
Corsair,Corsair Dominator Platinum RGB 32 GB,172.99,23353.65,,32,DDR5,6200,"2,16",36,Black,5.406
TEAMGROUP,TEAMGROUP T-Create Expert 64 GB,180.99,24433.65,,64,DDR5,6400,"2,32",34,Black,2.828
G.Skill,G.Skill Trident Z5 Royal Neo RGB 64 GB,,,,64,DDR5,6000,"2,32",26,Silver,
TEAMGROUP,TEAMGROUP Elite 16 GB,48.99,6613.65,,16,DDR4,3200,"1,16",22,Black,3.062
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,92.99,12553.65,,32,DDR5,6000,"2,16",38,White,2.906
Corsair,Corsair Vengeance LPX 32 GB,80.95,10928.25,,32,DDR4,3200,"2,16",16,Black / Yellow,2.53
Crucial Ballistix,Crucial Ballistix MAX 16 GB,995.0,134325.0,,16,DDR4,5100,"2,8",19,Black,62.188
G.Skill,G.Skill Ripjaws S5 64 GB,189.99,25648.65,,64,DDR5,5600,"2,32",28,Black,2.969
G.Skill,G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,60748.65,,96,DDR5,6000,"2,48",28,Gold,4.687
Crucial,Crucial CT2K16G56C46U5 32 GB,77.98,10527.3,,32,DDR5,5600,"2,16",46,Black,2.437
TEAMGROUP,TEAMGROUP T-Create Expert 32 GB,65.98,8907.3,,32,DDR4,3600,"2,16",18,Gray,2.062
Corsair,Corsair Vengeance LPX 128 GB,315.9,42646.5,,128,DDR4,3200,"4,32",16,Black / Yellow,2.468
G.Skill,G.Skill Trident Z5 RGB 32 GB,142.99,19303.65,,32,DDR5,7600,"2,16",36,Black,4.468
Klevv,Klevv FIT V 32 GB,,,,32,DDR5,6000,"2,16",30,Black,
Corsair,Corsair Vengeance LPX 32 GB,119.99,16198.65,,32,DDR4,2133,"2,16",13,Black / Yellow,3.75
Samsung,Samsung M378A2K43CB1-CTD 16 GB,29.0,3915.0,,16,DDR4,2666,"1,16",19,Green / Black,1.812
Kingston,Kingston FURY Beast 32 GB,129.58,17493.3,,32,DDR5,6000,"2,16",30,White,4.049
G.Skill,G.Skill Trident Z5 RGB 48 GB,259.99,35098.65,,48,DDR5,8400,"2,24",40,White,5.416
Corsair,Corsair Vengeance RGB 32 GB,102.99,13903.65,,32,DDR5,5200,"2,16",40,Black,3.218
G.Skill,G.Skill Ripjaws S5 64 GB,242.99,32803.65,,64,DDR5,6800,"2,32",34,Black,3.797
Patriot,Patriot Viper Venom 16 GB,53.99,7288.65,,16,DDR5,5600,"2,8",40,Black / White,3.374
ADATA,ADATA XPG SPECTRIX D35G RGB 32 GB,99.99,13498.65,,32,DDR4,3200,"2,16",16,Black,3.125
Kingston,Kingston HyperX Fury 32 GB,,,,32,DDR4,3200,"2,16",16,Black,
G.Skill,G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,20248.65,,32,DDR5,6400,"2,16",30,Silver,4.687
G.Skill,G.Skill Trident Z5 RGB 32 GB,164.99,22273.65,,32,DDR5,8000,"2,16",38,Black,5.156
G.Skill,G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,12823.65,,32,DDR5,6000,"2,16",36,White,2.968
Corsair,Corsair Dominator Titanium 64 GB,319.99,43198.65,,64,DDR5,6000,"2,32",30,Black,5
G.Skill,G.Skill Trident Z5 RGB 64 GB,219.99,29698.65,,64,DDR5,6000,"2,32",30,Black,3.437
Samsung,Samsung M378A1K43CB2-CRC 8 GB,23.08,3115.8,,8,DDR4,2400,"1,8",17,Green,2.885
Kingston,Kingston Server Premier 64 GB,229.99,31048.65,,64,DDR4,3200,"1,64",22,,3.594
G.Skill,G.Skill Flare X5 32 GB,127.99,17278.65,,32,DDR5,6000,"2,16",28,White,4
Corsair,Corsair Vengeance 64 GB,218.99,29563.65,,64,DDR5,5600,"4,16",36,Black,3.422
Kingston,Kingston FURY Beast 16 GB,73.36,9903.6,,16,DDR5,6000,"2,8",36,Black / Silver,4.585
G.Skill,G.Skill Trident Z5 Neo RGB 32 GB,139.99,18898.65,,32,DDR5,6000,"2,16",30,Silver / Black,4.375
Corsair,Corsair Vengeance 32 GB,104.99,14173.65,,32,DDR5,6400,"2,16",36,Black,3.281
G.Skill,G.Skill Trident Z5 Neo RGB 64 GB,254.99,34423.65,,64,DDR5,6000,"2,32",28,White / Black,3.984
Kingston,Kingston FURY Beast RGB 64 GB,523.82,70715.7,,64,DDR5,6400,"2,32",32,White,8.185
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,124.99,16873.65,,32,DDR5,6000,"2,16",28,White,3.906
G.Skill,G.Skill Ripjaws M5 RGB 48 GB,109.99,14848.65,,48,DDR5,5200,"2,24",40,White,2.291
Corsair,Corsair Vengeance 64 GB,285.0,38475.0,,64,DDR5,6600,"2,32",32,Black / Gray,4.453
Corsair,Corsair Vengeance LPX 16 GB,45.99,6208.65,,16,DDR4,3200,"2,8",16,Black,2.874
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,,,,32,DDR4,3600,"2,16",18,White,
G.Skill,G.Skill Ripjaws S5 32 GB,109.99,14848.65,,32,DDR5,6000,"2,16",30,White,3.437
TEAMGROUP,TEAMGROUP T-Create Expert 64 GB,180.99,24433.65,,64,DDR5,6400,"2,32",34,White,2.828
Corsair,Corsair Vengeance LPX 16 GB,47.99,6478.65,,16,DDR4,2666,"2,8",16,Black / Yellow,2.999
Corsair,Corsair Dominator Titanium 64 GB,377.99,51028.65,,64,DDR5,6400,"4,16",32,Black,5.906
G.Skill,G.Skill Flare X5 64 GB,234.99,31723.65,,64,DDR5,6000,"2,32",28,White,3.672
Patriot,Patriot Viper Steel 64 GB,126.86,17126.1,,64,DDR4,3200,"2,32",16,Gray,1.982
G.Skill,G.Skill Ripjaws M5 RGB 96 GB,179.99,24298.65,,96,DDR5,5200,"2,48",40,Black,1.875
Corsair,Corsair Vengeance 16 GB,58.98,7962.3,,16,DDR5,5200,"1,16",40,Black,3.686
G.Skill,G.Skill Trident Z5 RGB 32 GB,119.99,16198.65,,32,DDR5,6000,"2,16",30,Black,3.75
Kingston,Kingston FURY Beast RGB 16 GB,56.0,7560.0,,16,DDR4,3600,"2,8",17,Black,3.5
G.Skill,G.Skill Ripjaws M5 Neo RGB 32 GB,88.98,12012.3,,32,DDR5,6000,"2,16",36,Black,2.781
Corsair,Corsair Vengeance 16 GB,75.98,10257.3,,16,DDR3,1600,"2,8",9,Black / Yellow,4.749
