brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
Intel,Intel DC S3710,460.13,62117.55,,800,2.5,SATA 6.0 Gb/s,,0.575
Intel,Intel DC S3110,67.16,9066.6,,256,M.2-2280,M.2 SATA,,
Pioneer,Pioneer APS-SE20G-512,86.83,11722.05,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.17
Kingston,Kingston KC600B,124.87,16857.45,,512,2.5,SATA 6.0 Gb/s,,0.244
VisionTek,VisionTek PRO HXS,84.99,11473.65,,250,2.5,SATA 6.0 Gb/s,,0.34
VisionTek,VisionTek PRO HXS,153.49,20721.15,,1000,2.5,SATA 6.0 Gb/s,,0.153
Western Digital,Western Digital Ultrastar,92.0,12420.0,,240,2.5,SATA 6.0 Gb/s,,0.383
Angelbird,Angelbird AV PRO MK3,399.99,53998.65,,1000,2.5,SATA 6.0 Gb/s,,0.4
VisionTek,VisionTek PRO,101.08,13645.8,,500,2.5,SATA 6.0 Gb/s,,0.202
VisionTek,VisionTek PRO,279.99,37798.65,,2000,2.5,SATA 6.0 Gb/s,,0.14
Intel,Intel D3-S4520,282.0,38070.0,,1920,2.5,SATA 6.0 Gb/s,,0.147
Intel,Intel D3-S4620,274.14,37008.9,,960,2.5,SATA 6.0 Gb/s,,0.286
Intel,Intel D3-S4620,211.0,28485.0,,480,2.5,SATA 6.0 Gb/s,,0.44
Intel,Intel D3-S4520,199.99,26998.65,,480,M.2-2280,M.2 SATA,,0.417
Mushkin,Mushkin ELEMENT,309.05,41721.75,,2000,2.5,SATA 6.0 Gb/s,,0.155
VisionTek,VisionTek DLX3,114.99,15523.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.115
Oyen,Oyen Digital Dash Pro w/Heat Sink,349.9,47236.5,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.087
VisionTek,VisionTek DLX4 Pro,448.31,60521.85,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.112
VisionTek,VisionTek DLX4,66.98,9042.3,,512,M.2-2280,M.2 PCIe 4.0 X4,,0.131
Transcend,Transcend 830S,79.99,10798.65,,1000,M.2-2280,M.2 SATA,,0.08
OWC,OWC Aura Pro IV,98.99,13363.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.099
OWC,OWC Aura Ultra IV,129.99,17548.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.13
AGI,AGI AI828,87.99,11878.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.088
Orico,Orico D10,27.99,3778.65,,256,M.2-2230,M.2 PCIe 3.0 X4,,0.109
Inland,Inland TN436,76.98,10392.3,,1000,M.2-2230,M.2 PCIe 4.0 X4,,0.077
Intel,Intel 530,136.5,18427.5,,240,mSATA,mSATA,,0.569
Intel,Intel DC S4600,290.77,39253.95,,1900,2.5,SATA 6.0 Gb/s,,0.153
Transcend,Transcend 220S,157.76,21297.6,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.079
VisionTek,VisionTek DLX4,107.34,14490.9,,1000,M.2-2242,M.2 PCIe 4.0 X4,,0.107
Transcend,Transcend 830S,169.0,22815.0,,2000,M.2-2280,M.2 SATA,,0.084
Intel,Intel X25-M,396.86,53576.1,,160,2.5,SATA 3.0 Gb/s,,
Verbatim,Verbatim Verbatim SATA II,93.15,12575.25,,64,2.5,SATA 3.0 Gb/s,,
Seagate,Seagate 1200 SSD,225.0,30375.0,,200,2.5,SAS 12.0 Gb/s,,1.125
VisionTek,VisionTek DLX3,39.93,5390.55,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.156
VisionTek,VisionTek DLX4,224.99,30373.65,,2000,M.2-2230,M.2 PCIe 4.0 X4,,0.112
Transcend,Transcend MTE410S,99.9,13486.5,,1000,M.2-2242,M.2 PCIe 4.0 X4,,0.1
AGI,AGI AI828,146.99,19843.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
Intel,Intel X25-M,300.0,40500.0,,160,2.5,SATA 3.0 Gb/s,,1.875
OCZ,OCZ Agility 2,149.94,20241.9,,60,2.5,SATA 3.0 Gb/s,,2.499
Intel,Intel X25-M,179.95,24293.25,,160,2.5,SATA 3.0 Gb/s,,1.125
ADATA,ADATA S511,304.7,41134.5,,240,2.5,SATA 6.0 Gb/s,,1.27
Verbatim,Verbatim Verbatim SATA II,134.4,18144.0,,128,2.5,SATA 3.0 Gb/s,,
Intel,Intel 335,189.0,25515.0,,240,2.5,SATA 6.0 Gb/s,,0.787
PNY,PNY XLR8 PRO,112.59,15199.65,,120,2.5,SATA 6.0 Gb/s,,
Intel,Intel DC S3700,417.0,56295.0,,200,2.5,SATA 6.0 Gb/s,,2.085
PNY,PNY Performance,106.61,14392.35,,60,2.5,SATA 3.0 Gb/s,,
Crucial,Crucial M4,277.77,37498.95,,256,mSATA,mSATA,,1.085
Crucial,Crucial M4,257.77,34798.95,,128,mSATA,mSATA,,2.014
