brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
TEAMGROUP,TEAMGROUP MP44L,105.99,14308.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.053
Samsung,Samsung 870 Evo,168.74,22779.9,,2000,2.5,SATA 6.0 Gb/s,2048,0.084
Samsung,Samsung 9100 PRO,154.99,20923.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,1024,0.155
Lexar,Lexar NM790,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Crucial,Crucial T705,199.99,26998.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.1
Western Digital,Western Digital WD Blue SN5000,59.79,8071.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Western Digital,Western Digital WD_BLACK SN7100,129.99,17548.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Kingston,Kingston NV3,38.99,5263.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.078
Samsung,Samsung 870 Evo,54.99,7423.65,,500,2.5,SATA 6.0 Gb/s,512,0.11
Kingston,Kingston KC3000,161.9,21856.5,,2048,M.2-2280,M.2 PCIe 4.0 X4,,0.079
MSI,MSI SPATIUM M461,89.99,12148.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,
Samsung,Samsung 970 Evo Plus,79.99,10798.65,,500,M.2-2280,M.2 PCIe 3.0 X4,512,0.16
PNY,PNY CS1030,49.99,6748.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.05
Crucial,Crucial P310,112.49,15186.15,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.056
Samsung,Samsung 870 QVO,629.99,85048.65,,8000,2.5,SATA 6.0 Gb/s,,0.079
Western Digital,Western Digital WD_BLACK SN7100,73.0,9855.0,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
Crucial,Crucial P3,69.38,9366.3,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.069
Patriot,Patriot Burst Elite,12.49,1686.15,,120,2.5,SATA 6.0 Gb/s,,0.104
Acer,Acer Predator GM7000,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.062
Kingston,Kingston Fury Renegade,154.0,20790.0,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Crucial,Crucial BX500,66.98,9042.3,,1000,2.5,SATA 6.0 Gb/s,,0.067
Western Digital,Western Digital WD_BLACK SN8100,464.99,62773.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.116
Western Digital,Western Digital WD Green SN3000,67.99,9178.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.068
TEAMGROUP,TEAMGROUP T-FORCE G50,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Samsung,Samsung 970 Evo Plus,189.95,25643.25,,2000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.095
Samsung,Samsung 990 Pro w/Heatsink,159.99,21598.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.08
Lexar,Lexar NM790,67.99,9178.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.068
Samsung,Samsung 990 EVO,129.99,17548.65,,2000,M.2-2280,M.2 PCIe 5.0 X2,,0.065
Western Digital,Western Digital WD_BLACK SN8100,224.99,30373.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,2048,0.112
Samsung,Samsung 980,106.9,14431.5,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.107
Crucial,Crucial T705,389.99,52648.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.097
Crucial,Crucial T500,75.19,10150.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
Patriot,Patriot P300,23.49,3171.15,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.092
Patriot,Patriot Viper VP4300 Lite,103.98,14037.3,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Kingston,Kingston A400,24.99,3373.65,,240,2.5,SATA 6.0 Gb/s,,0.104
TEAMGROUP,TEAMGROUP MP33,34.99,4723.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.068
TEAMGROUP,TEAMGROUP T-FORCE G50,104.99,14173.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Samsung,Samsung 990 EVO,74.98,10122.3,,1000,M.2-2280,M.2 PCIe 5.0 X2,,0.075
Silicon Power,Silicon Power A60,54.97,7420.95,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
MSI,MSI SPATIUM M480 PRO,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.06
Samsung,Samsung 990 Pro w/Heatsink,315.05,42531.75,,4000,M.2-2280,M.2 PCIe 4.0 X4,4096,0.079
Samsung,Samsung 9100 PRO w/Heatsink,449.99,60748.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.112
Crucial,Crucial P510,99.99,13498.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.1
TEAMGROUP,TEAMGROUP MP44L,34.99,4723.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Western Digital,Western Digital Green SN350,55.56,7500.6,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.056
Klevv,Klevv CRAS C910,199.99,26998.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.05
Kingston,Kingston KC3000,99.99,13498.65,,1024,M.2-2280,M.2 PCIe 4.0 X4,,0.098
TEAMGROUP,TEAMGROUP MP33 PRO,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
SK,SK Hynix Platinum P41,79.98,10797.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Lexar,Lexar NM790,230.0,31050.0,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Corsair,Corsair MP700 Elite,198.99,26863.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.099
Samsung,Samsung 980,69.99,9448.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.14
Patriot,Patriot P400 Lite,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
Samsung,Samsung 970 Evo,146.13,19727.55,,1000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.146
Silicon Power,Silicon Power UD90,212.99,28753.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.053
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,47.99,6478.65,,1000,2.5,SATA 6.0 Gb/s,,0.048
Kingston,Kingston A400,36.99,4993.65,,480,2.5,SATA 6.0 Gb/s,,0.077
Samsung,Samsung 860 Evo,142.13,19187.55,,1000,2.5,SATA 6.0 Gb/s,1024,0.142
Kingston,Kingston Fury Renegade,117.85,15909.75,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.118
Sabrent,Sabrent Rocket 5,729.99,98548.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.182
PNY,PNY CS1030,29.99,4048.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.06
Crucial,Crucial T705,142.99,19303.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.143
Lexar,Lexar NM620,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.058
Crucial,Crucial BX500,108.99,14713.65,,2000,2.5,SATA 6.0 Gb/s,,0.054
Western Digital,Western Digital WD Blue SN5000,113.99,15388.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Silicon Power,Silicon Power A55,45.99,6208.65,,1000,2.5,SATA 6.0 Gb/s,,0.046
Patriot,Patriot P300,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
Western Digital,Western Digital Black SN770,56.99,7693.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.114
MSI,MSI SPATIUM M480 PRO,109.67,14805.45,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.11
Patriot,Patriot P300,14.99,2023.65,,128,M.2-2280,M.2 PCIe 3.0 X4,,0.117
TEAMGROUP,TEAMGROUP MP33,103.99,14038.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.052
KIOXIA,KIOXIA EXCERIA PLUS G3,83.78,11310.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.084
Silicon Power,Silicon Power P34A60,36.97,4990.95,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.072
Crucial,Crucial T700,379.99,51298.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.095
Silicon Power,Silicon Power A60,95.97,12955.95,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.048
Samsung,Samsung 990 Pro w/Heatsink,109.99,14848.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.11
Kingston,Kingston A400,57.99,7828.65,,960,2.5,SATA 6.0 Gb/s,,0.06
Samsung,Samsung 970 Evo Plus,69.79,9421.65,,250,M.2-2280,M.2 PCIe 3.0 X4,512,0.279
Western Digital,Western Digital Blue SN580,44.99,6073.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.09
Corsair,Corsair MP600 PRO XT,909.99,122848.65,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.114
Crucial,Crucial P5 Plus,159.99,21598.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.16
Patriot,Patriot P400 Lite,104.99,14173.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Crucial,Crucial MX500,149.99,20248.65,,1000,2.5,SATA 6.0 Gb/s,1024,0.15
Corsair,Corsair MP700 PRO,219.99,29698.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.11
Crucial,Crucial T700,219.99,29698.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.11
MSI,MSI SPATIUM M482,109.99,14848.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
PNY,PNY CS1030,91.99,12418.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.046
Western Digital,Western Digital WD_BLACK SN8100,169.99,22948.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,1024,0.17
TEAMGROUP,TEAMGROUP T-FORCE G70 PRO Graphene,122.99,16603.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.061
PNY,PNY CS2150,169.99,22948.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.085
KIOXIA,KIOXIA EXCERIA PLUS G3,146.31,19751.85,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
Gigabyte,Gigabyte AORUS Gen4 7300,91.99,12418.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.092
TEAMGROUP,TEAMGROUP QX,182.99,24703.65,,4000,2.5,SATA 6.0 Gb/s,,0.046
Samsung,Samsung 860 Evo,109.0,14715.0,,500,2.5,SATA 6.0 Gb/s,512,0.218
Acer,Acer Predator GM7000,77.98,10527.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.078
Crucial,Crucial P3,44.06,5948.1,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.088
Silicon Power,Silicon Power A55,84.99,11473.65,,2000,2.5,SATA 6.0 Gb/s,,0.042
Kingston,Kingston NV2,118.77,16033.95,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.059
PNY,PNY CS2150,89.99,12148.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.09
Corsair,Corsair MP700 Elite,134.99,18223.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.135
FanXiang,FanXiang S880,59.99,8098.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Mushkin,Mushkin Gamma,1068.14,144198.9,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.134
Intel,Intel D3-S4610,1485.0,200475.0,,7680,2.5,SATA 6.0 Gb/s,,0.193
Crucial,Crucial BX500,228.99,30913.65,,4000,2.5,SATA 6.0 Gb/s,,0.057
Kingston,Kingston NV3,238.98,32262.3,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Patriot,Patriot P210,29.79,4021.65,,512,2.5,SATA 6.0 Gb/s,,0.058
Samsung,Samsung 9100 PRO w/Heatsink,249.99,33748.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,2048,0.125
Kingston,Kingston FURY Renegade G5,458.46,61892.1,,4096,M.2-2280,M.2 PCIe 5.0 X4,,0.112
PNY,PNY CS900,49.99,6748.65,,1000,2.5,SATA 6.0 Gb/s,,0.05
Kingston,Kingston Fury Renegade,309.95,41843.25,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Western Digital,Western Digital Blue,141.47,19098.45,,1000,2.5,SATA 6.0 Gb/s,,0.141
Crucial,Crucial T705 W/Heatsink,369.99,49948.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.092
Crucial,Crucial T500,300.0,40500.0,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
Western Digital,Western Digital WD_BLACK SN7100,239.99,32398.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
KingSpec,KingSpec XG7000,97.99,13228.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.049
Crucial,Crucial CT1000E100SSD8,71.5,9652.5,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.072
Crucial,Crucial P3,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.06
Lexar,Lexar NM620,140.55,18974.25,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.07
Samsung,Samsung 970 Evo,106.13,14327.55,,500,M.2-2280,M.2 PCIe 3.0 X4,512,0.212
Western Digital,Western Digital Blue SN570,122.79,16576.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.123
Crucial,Crucial P5 Plus,228.8,30888.0,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.114
Western Digital,Western Digital WD_Black SN850X w/Heatsink,639.99,86398.65,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Kingston,Kingston NV2,45.77,6178.95,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.092
Western Digital,Western Digital WD Green SN3000,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
TEAMGROUP,TEAMGROUP MP33,23.99,3238.65,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.094
ADATA,ADATA XPG GAMMIX S70 Blade,75.98,10257.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.076
Kingston,Kingston KC3000,67.99,9178.65,,512,M.2-2280,M.2 PCIe 4.0 X4,,0.133
Western Digital,Western Digital Blue SN550,104.85,14154.75,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.105
Acer,Acer Predator GM7,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,91.99,12418.65,,2000,2.5,SATA 6.0 Gb/s,,0.046
TEAMGROUP,TEAMGROUP T-Force Delta Max RGB Lite,58.99,7963.65,,1000,2.5,SATA 6.0 Gb/s,,0.059
Silicon Power,Silicon Power A55,27.99,3778.65,,512,2.5,SATA 6.0 Gb/s,,0.055
Corsair,Corsair MP600 PRO NH,849.0,114615.0,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.106
Lexar,Lexar NQ790,146.79,19816.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
PNY,PNY XLR8 CS3040,499.99,67498.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.125
MSI,MSI SPATIUM M371,49.99,6748.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,
Crucial,Crucial P510,179.99,24298.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.09
Crucial,Crucial MX500,132.0,17820.0,,500,2.5,SATA 6.0 Gb/s,512,0.264
TEAMGROUP,TEAMGROUP QX,85.99,11608.65,,2000,2.5,SATA 6.0 Gb/s,,0.043
Patriot,Patriot Viper VP4300 Lite,64.98,8772.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Samsung,Samsung 980 Pro w/Heatsink,150.99,20383.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.151
Crucial,Crucial BX500,23.49,3171.15,,240,2.5,SATA 6.0 Gb/s,,0.098
Western Digital,Western Digital WD_Black SN850X w/Heatsink,174.99,23623.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.087
Gigabyte,Gigabyte AORUS Gen4 7300,147.99,19978.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.074
Crucial,Crucial P310,49.98,6747.3,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.1
Western Digital,Western Digital Blue,69.98,9447.3,,500,2.5,SATA 6.0 Gb/s,,0.14
Crucial,Crucial T700,139.99,18898.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.14
ADATA,ADATA LEGEND 860,77.49,10461.15,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Western Digital,Western Digital WD Blue SN5000,230.39,31102.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Lexar,Lexar NM620,39.99,5398.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.078
Silicon Power,Silicon Power US75,109.97,14845.95,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
Corsair,Corsair MP700 PRO SE,549.99,74248.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.137
TEAMGROUP,TEAMGROUP MS30,30.99,4183.65,,512,M.2-2280,M.2 SATA,,0.061
Western Digital,Western Digital Black SN750,119.0,16065.0,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.119
Patriot,Patriot P320,32.99,4453.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.064
Corsair,Corsair MP600 CORE XT,69.98,9447.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Western Digital,Western Digital Blue SA510,115.19,15550.65,,2000,2.5,SATA 6.0 Gb/s,,0.058
Patriot,Patriot P400 Lite,35.99,4858.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.072
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,31.99,4318.65,,512,2.5,SATA 6.0 Gb/s,,0.062
TEAMGROUP,TEAMGROUP MP44Q,59.99,8098.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Patriot,Patriot P210,18.98,2562.3,,256,2.5,SATA 6.0 Gb/s,,0.074
Patriot,Patriot P320,52.99,7153.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.053
Western Digital,Western Digital WD Blue SN5000,44.75,6041.25,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.089
Kingston,Kingston FURY Renegade G5,242.31,32711.85,,2048,M.2-2280,M.2 PCIe 5.0 X4,,0.118
Western Digital,Western Digital WD_Black SN850X w/Heatsink,103.0,13905.0,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.103
Timetec,Timetec 35TTFP6PCIE,52.99,7153.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.053
ADATA,ADATA XPG GAMMIX S70 Blade,169.95,22943.25,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.085
Timetec,Timetec 35TTQNM2SATA,48.99,6613.65,,1000,M.2-2280,M.2 SATA,,0.049
PNY,PNY CS900,30.99,4183.65,,500,2.5,SATA 6.0 Gb/s,,0.062
Western Digital,Western Digital Blue SN580,54.99,7423.65,,250,M.2-2280,M.2 PCIe 4.0 X4,,0.22
TEAMGROUP,TEAMGROUP MS30,50.99,6883.65,,1000,M.2-2280,M.2 SATA,,0.051
Corsair,Corsair MP600 ELITE,149.99,20248.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
TEAMGROUP,TEAMGROUP T-FORCE G50,218.99,29563.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
PNY,PNY CS2241,99.99,13498.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.05
Leven,Leven JS600,25.99,3508.65,,512,2.5,SATA 6.0 Gb/s,,0.051
Sabrent,Sabrent Rocket 4 Plus,219.99,29698.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.11
Intel,Intel 660p,75.0,10125.0,,1020,M.2-2280,M.2 PCIe 3.0 X4,,0.074
TEAMGROUP,TEAMGROUP MP44,240.99,32533.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Crucial,Crucial T500 W/Heatsink,164.99,22273.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.082
Western Digital,Western Digital WD_BLACK SN7100,49.99,6748.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.1
Lexar,Lexar NM710,88.74,11979.9,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.089
Samsung,Samsung 870 QVO,114.5,15457.5,,1000,2.5,SATA 6.0 Gb/s,,0.114
KingSpec,KingSpec XG7000,197.99,26728.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.049
TEAMGROUP,TEAMGROUP MS30,88.99,12013.65,,2000,M.2-2280,M.2 SATA,,0.044
Inland,Inland Performance Plus,76.98,10392.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Samsung,Samsung 980,55.4,7479.0,,250,M.2-2280,M.2 PCIe 3.0 X4,,0.222
FanXiang,FanXiang S880,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
TEAMGROUP,TEAMGROUP MP44Q,108.99,14713.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.054
MSI,MSI SPATIUM M480 PRO,289.99,39148.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.072
Crucial,Crucial BX500,61.22,8264.7,,480,2.5,SATA 6.0 Gb/s,,0.128
Klevv,Klevv CRAS C910,34.99,4723.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Patriot,Patriot Viper VP4300 Lite,209.99,28348.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
TEAMGROUP,TEAMGROUP T-FORCE GA PRO,89.99,12148.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.09
Samsung,Samsung 860 Evo,66.13,8927.55,,250,2.5,SATA 6.0 Gb/s,512,0.265
Corsair,Corsair MP600 ELITE,84.99,11473.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.085
Kingston,Kingston KC3000,329.99,44548.65,,4096,M.2-2280,M.2 PCIe 4.0 X4,,0.081
Timetec,Timetec 35TTFP6PCIE,32.99,4453.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.064
Silicon Power,Silicon Power P34A60,54.97,7420.95,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
Crucial,Crucial P1,135.0,18225.0,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.135
Samsung,Samsung 9100 PRO w/Heatsink,164.99,22273.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,1024,0.165
Inland,Inland Performance Plus,131.99,17818.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.066
TEAMGROUP,TEAMGROUP MP44,120.99,16333.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Lexar,Lexar NM710,146.31,19751.85,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
Samsung,Samsung 870 QVO,215.0,29025.0,,2000,2.5,SATA 6.0 Gb/s,,0.107
Patriot,Patriot P310,35.98,4857.3,,480,M.2-2280,M.2 PCIe 3.0 X4,,0.075
Kingston,Kingston A400,47.71,6440.85,,120,2.5,SATA 6.0 Gb/s,,0.398
Orico,Orico Y-20,10.99,1483.65,,128,2.5,SATA 6.0 Gb/s,,0.086
KingSpec,KingSpec P3,45.99,6208.65,,1000,2.5,SATA 6.0 Gb/s,,0.046
Corsair,Corsair MP700 PRO,499.99,67498.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.125
Leven,Leven JPS600,91.99,12418.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.046
Patriot,Patriot P220,13.49,1821.15,,128,2.5,SATA 6.0 Gb/s,,0.105
Patriot,Patriot P310,51.99,7018.65,,960,M.2-2280,M.2 PCIe 3.0 X4,,0.054
Western Digital,Western Digital Green SN350,104.49,14106.15,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.052
Sabrent,Sabrent Rocket 4 Plus,119.99,16198.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.12
Kingston,Kingston KC600,35.49,4791.15,,256,2.5,SATA 6.0 Gb/s,,0.139
Seagate,Seagate FireCuda 530R,169.99,22948.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.085
Kingston,Kingston FURY Renegade G5,171.99,23218.65,,1024,M.2-2280,M.2 PCIe 5.0 X4,,0.168
ADATA,ADATA SU630,26.61,3592.35,,240,2.5,SATA 6.0 Gb/s,,0.111
ADATA,ADATA Legend 800,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Samsung,Samsung 870 Evo,54.99,7423.65,,250,2.5,SATA 6.0 Gb/s,512,0.22
MSI,MSI SPATIUM M450,49.95,6743.25,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.1
Western Digital,Western Digital WD_Black SN850X w/Heatsink,309.99,41848.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Patriot,Patriot Burst Elite,26.99,3643.65,,480,2.5,SATA 6.0 Gb/s,,0.056
Western Digital,Western Digital Green,61.09,8247.15,,1000,2.5,SATA 6.0 Gb/s,,0.061
ADATA,ADATA LEGEND 860,131.39,17737.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.066
Western Digital,Western Digital Blue SA510,64.9,8761.5,,1000,2.5,SATA 6.0 Gb/s,,0.065
Western Digital,Western Digital Blue SN570,109.99,14848.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.22
PNY,PNY CS2241,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Orico,Orico O7000,103.94,14031.9,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Samsung,Samsung 960 Evo,87.95,11873.25,,250,M.2-2280,M.2 PCIe 3.0 X4,512,0.352
Patriot,Patriot P320,23.49,3171.15,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.092
Western Digital,Western Digital Blue SN550,158.97,21460.95,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.318
Corsair,Corsair MP700 PRO,139.99,18898.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.14
Crucial,Crucial P3,318.0,42930.0,,4000,M.2-2280,M.2 PCIe 3.0 X4,,0.08
Corsair,Corsair MP600 PRO LPX,159.99,21598.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
SK,SK Hynix Platinum P51,269.99,36448.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.135
SanDisk,SanDisk SSD PLUS,62.99,8503.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.063
Corsair,Corsair MP700 PRO SE with Air Cooler,559.99,75598.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.14
TEAMGROUP,TEAMGROUP Cardea A440,128.99,17413.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.064
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,89.99,12148.65,,2000,2.5,SATA 6.0 Gb/s,,0.045
Patriot,Patriot P310,25.98,3507.3,,240,M.2-2280,M.2 PCIe 3.0 X4,,0.108
Corsair,Corsair MP600 CORE XT,279.99,37798.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
KingSpec,KingSpec XG7000,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Crucial,Crucial T500,72.98,9852.3,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.146
