brand,name,price_usd,price_bdt,image_url,socket,chipset,form_factor,max_memory_gb,memory_slots,memory_type,m2_slots,color
MSI,MSI MAG X670E TOMAHAWK WIFI,248.71,33575.85,,AM5,,ATX,192,4,,,Black
Asus,Asus ROG STRIX B850-I GAMING WIFI,299.99,40498.65,,AM5,,Mini ITX,96,2,,,Black
Asus,Asus ROG STRIX B650E-I GAMING WIFI,219.95,29693.25,,AM5,,Mini ITX,96,2,,,Black
MSI,MSI MPG X870E CARBON WIFI,499.99,67498.65,,AM5,,ATX,256,4,,,Black
Gigabyte,Gigabyte B850 GAMING WIFI6,179.99,24298.65,,AM5,,ATX,256,4,,,Black / Gray
MSI,MSI B850 GAMING PLUS WIFI,199.99,26998.65,,AM5,,ATX,256,4,,,Silver / Black
Asus,Asus TUF GAMING X870-PLUS WIFI,266.99,36043.65,,AM5,,ATX,192,4,,,Black
Gigabyte,Gigabyte Z790 AORUS ELITE AX,184.99,24973.65,,LGA1700,,ATX,192,4,,,Black
MSI,MSI B550-A PRO,125.99,17008.65,,AM4,,ATX,128,4,,,Black / Silver
Asus,Asus ROG CROSSHAIR X870E EXTREME,999.99,134998.65,,AM5,,EATX,256,4,,,Black / Silver
ASRock,ASRock B850M Pro RS WiFi,149.99,20248.65,,AM5,,Micro ATX,256,4,,,Silver / Black
Asus,Asus TUF GAMING Z790-PLUS WIFI,219.99,29698.65,,LGA1700,,ATX,192,4,,,Black / Gray
Gigabyte,Gigabyte X870E AORUS PRO ICE,329.99,44548.65,,AM5,,ATX,256,4,,,White
Gigabyte,Gigabyte B650 AORUS ELITE AX,185.99,25108.65,,AM5,,ATX,192,4,,,Black / Silver
Gigabyte,Gigabyte A620I AX,138.0,18630.0,,AM5,,Mini ITX,96,2,,,Black / Gray
Gigabyte,Gigabyte X870I AORUS PRO ICE,284.99,38473.65,,AM5,,Mini ITX,128,2,,,White
MSI,MSI B650M GAMING PLUS WIFI,219.51,29633.85,,AM5,,Micro ATX,192,4,,,Silver / Black
Asus,Asus ROG STRIX B850-F GAMING WIFI,269.18,36339.3,,AM5,,ATX,192,4,,,Black
ASRock,ASRock X870 Pro RS,179.99,24298.65,,AM5,,ATX,256,4,,,White
MSI,MSI PRO A620M-E,154.9,20911.5,,AM5,,Micro ATX,96,2,,,Black
Asus,Asus TUF GAMING B650E-PLUS WIFI,189.99,25648.65,,AM5,,ATX,256,4,,,Black / Silver
Gigabyte,Gigabyte B850 GAMING X WIFI6E,197.99,26728.65,,AM5,,ATX,256,4,,,Gray / Black
Gigabyte,Gigabyte B550 GAMING X V2,129.99,17548.65,,AM4,,ATX,128,4,,,Black
ASRock,ASRock B650M-HDV/M.2,138.63,18715.05,,AM5,,Micro ATX,96,2,,,Silver / Black
Asus,Asus Z790 GAMING WIFI7,179.99,24298.65,,LGA1700,,ATX,192,4,,,Silver / Black
MSI,MSI MAG X870E TOMAHAWK WIFI,309.99,41848.65,,AM5,,ATX,256,4,,,Black / Green
Gigabyte,Gigabyte B550 EAGLE WIFI6,129.99,17548.65,,AM4,,ATX,128,4,,,Black
MSI,MSI PRO H610M-G DDR4,93.99,12688.65,,LGA1700,,Micro ATX,64,2,,,Black / Silver
MSI,MSI MEG X870E GODLIKE,999.99,134998.65,,AM5,,EATX,256,4,,,Black
ASRock,ASRock X870 Pro RS WiFi,240.99,32533.65,,AM5,,ATX,256,4,,,White
Gigabyte,Gigabyte B850M AORUS ELITE WIFI6E ICE,199.99,26998.65,,AM5,,Micro ATX,256,4,,,White / Silver
ASRock,ASRock B760M-HDV/M.2,119.32,16108.2,,LGA1700,,Micro ATX,96,2,,,White / Black
ASRock,ASRock A520M-HDV,62.99,8503.65,,AM4,,Micro ATX,64,2,,,Black / Silver
ASRock,ASRock B550 Phantom Gaming 4/ac,99.99,13498.65,,AM4,,ATX,128,4,,,Silver / Black
Gigabyte,Gigabyte X870 AORUS ELITE WIFI7,262.0,35370.0,,AM5,,ATX,256,4,,,Black
Asus,Asus ROG STRIX B760-I GAMING WIFI,209.95,28343.25,,LGA1700,,Mini ITX,96,2,,,Black
Gigabyte,Gigabyte X870 GAMING WIFI6,189.99,25648.65,,AM5,,ATX,256,4,,,Black / Gray
ASRock,ASRock A620M-HDV/M.2,129.14,17433.9,,AM5,,Micro ATX,96,2,,,Gray / Black
MSI,MSI MAG Z890 TOMAHAWK WIFI,239.99,32398.65,,LGA1851,,ATX,256,4,,,Black / Yellow
Asus,Asus ProArt X870E-CREATOR WIFI,517.99,69928.65,,AM5,,ATX,256,4,,,Black / Gold
ASRock,ASRock B650 PG LIGHTNING,129.99,17548.65,,AM5,,ATX,256,4,,,Black
MSI,MSI MAG B550 TOMAHAWK,139.99,18898.65,,AM4,,ATX,128,4,,,Black / Silver
MSI,MSI MAG B760 TOMAHAWK WIFI,164.99,22273.65,,LGA1700,,ATX,192,4,,,Black
Gigabyte,Gigabyte B550 UD AC,119.99,16198.65,,AM4,,ATX,128,4,,,Brown / Black
Gigabyte,Gigabyte B650M D3HP AX,139.99,18898.65,,AM5,,Micro ATX,192,4,,,Black / Gray
Asus,Asus PRIME B650M-A AX II,168.99,22813.65,,AM5,,Micro ATX,192,4,,,Black / Silver
ASRock,ASRock B650I Lightning Wifi,199.99,26998.65,,AM5,,Mini ITX,96,2,,,Black
ASRock,ASRock X870E Taichi,468.95,63308.25,,AM5,,EATX,256,4,,,Black
MSI,MSI MPG X870E EDGE TI WIFI,289.99,39148.65,,AM5,,ATX,256,4,,,Silver / White
ASRock,ASRock Phantom Gaming X870E Nova WiFi,299.99,40498.65,,AM5,,ATX,256,4,,,Black / Purple
MSI,MSI PRO X870E-P WIFI,244.94,33066.9,,AM5,,ATX,256,4,,,Black / Silver
MSI,MSI PRO B850-P WIFI,199.99,26998.65,,AM5,,ATX,256,4,,,Silver / Black
Gigabyte,Gigabyte B760M DS3H AX,129.99,17548.65,,LGA1700,,Micro ATX,192,4,,,Black
ASRock,ASRock B850 Riptide WiFi,199.99,26998.65,,AM5,,ATX,256,4,,,Black
MSI,MSI B840 GAMING PLUS WIFI,149.99,20248.65,,AM5,,ATX,256,4,,,Silver / Black
ASRock,ASRock B650M Pro RS,220.07,29709.45,,AM5,,Micro ATX,256,4,,,Black / Silver
Asus,Asus TUF GAMING A520M-PLUS WIFI,110.46,14912.1,,AM4,,Micro ATX,128,4,,,Black / Orange
ASRock,ASRock B760M PG Riptide Wifi,119.99,16198.65,,LGA1700,,Micro ATX,192,4,,,Black
ASRock,ASRock B650 Steel Legend WiFi,280.35,37847.25,,AM5,,ATX,256,4,,,White / Silver
Gigabyte,Gigabyte B650 AORUS ELITE AX ICE,199.74,26964.9,,AM5,,ATX,192,4,,,Silver
MSI,MSI X670E GAMING PLUS WIFI,189.99,25648.65,,AM5,,ATX,192,4,,,Silver / Black
Gigabyte,Gigabyte B650 AORUS ELITE AX V2,199.99,26998.65,,AM5,,ATX,192,4,,,Black / Silver
Asus,Asus ROG STRIX X870-I GAMING WIFI,448.99,60613.65,,AM5,,Mini ITX,128,2,,,Black
Asus,Asus ROG STRIX Z790-A GAMING WIFI II,590.0,79650.0,,LGA1700,,ATX,192,4,,,Black / Silver
MSI,MSI PRO Z790-P WIFI,179.99,24298.65,,LGA1700,,ATX,192,4,,,Black / Silver
ASRock,ASRock B760 Pro RS/D4,154.05,20796.75,,LGA1700,,ATX,128,4,,,Silver / Black
ASRock,ASRock B850M Steel Legend WiFi,179.99,24298.65,,AM5,,Micro ATX,256,4,,,Silver / Black
Asus,Asus TUF GAMING B650M-PLUS WIFI,259.0,34965.0,,AM5,,Micro ATX,192,4,,,Black
MSI,MSI B760M GAMING PLUS WIFI,252.19,34045.65,,LGA1700,,Micro ATX,192,4,,,Black / Silver
Gigabyte,Gigabyte B550M DS3H AC,99.99,13498.65,,AM4,,Micro ATX,128,4,,,Black
Gigabyte,Gigabyte B650M GAMING WIFI6E,177.17,23917.95,,AM5,,Micro ATX,128,2,,,Silver / Black
MSI,MSI PRO B760-P WIFI DDR4,159.95,21593.25,,LGA1700,,ATX,128,4,,,Black
Gigabyte,Gigabyte B650 EAGLE,212.19,28645.65,,AM5,,ATX,192,4,,,Black / Gray
MSI,MSI X870 GAMING PLUS WIFI,249.99,33748.65,,AM5,,ATX,256,4,,,Black / White
Asus,Asus TUF GAMING B760-PLUS WIFI,159.99,21598.65,,LGA1700,,ATX,192,4,,,Black
ASRock,ASRock Z790 PRO RS WIFI,229.68,31006.8,,LGA1700,,ATX,192,4,,,Silver / Black
Gigabyte,Gigabyte A520M S2H,72.98,9852.3,,AM4,,Micro ATX,64,2,,,Black
Asus,Asus Prime B450M-A II,140.0,18900.0,,AM4,,Micro ATX,128,4,,,
Gigabyte,Gigabyte B850I AORUS PRO,259.99,35098.65,,AM5,,Mini ITX,128,2,,,
Gigabyte,Gigabyte A520M DS3H V2,101.9,13756.5,,AM4,,Micro ATX,128,4,,,Gray / Brown
MSI,MSI B550 GAMING GEN3,124.58,16818.3,,AM4,,ATX,128,4,,,Black
MSI,MSI MAG B850M MORTAR WIFI,239.99,32398.65,,AM5,,Micro ATX,256,4,,,Black / Green
Gigabyte,Gigabyte B550 AORUS ELITE AX V2,149.99,20248.65,,AM4,,ATX,128,4,,,Black / Silver
ASRock,ASRock B850 Steel Legend WiFi,209.99,28348.65,,AM5,,ATX,256,4,,,White / Black
MSI,MSI MPG B650I EDGE WIFI,289.99,39148.65,,AM5,,Mini ITX,128,2,,,Black / Silver
MSI,MSI MAG Z790 TOMAHAWK WIFI,189.99,25648.65,,LGA1700,,ATX,192,4,,,Black
Gigabyte,Gigabyte B550I AORUS PRO AX,189.99,25648.65,,AM4,,Mini ITX,64,2,,,Black / Silver
Asus,Asus ROG STRIX B860-I GAMING WIFI,219.99,29698.65,,LGA1851,,Mini ITX,128,2,,,Black / Silver
Asus,Asus ROG STRIX B550-A GAMING,241.13,32552.55,,AM4,,ATX,128,4,,,Black / White
NZXT,NZXT N7 B650E,260.88,35218.8,,AM5,,ATX,128,4,,,White
Gigabyte,Gigabyte X870E AORUS PRO,349.99,47248.65,,AM5,,ATX,256,4,,,Black
MSI,MSI Z790 GAMING PLUS WIFI,169.99,22948.65,,LGA1700,,ATX,192,4,,,Black
MSI,MSI MPG B850I EDGE TI WIFI,249.99,33748.65,,AM5,,Mini ITX,128,2,,,Silver
ASRock,ASRock B650 PRO RS,147.02,19847.7,,AM5,,ATX,256,4,,,Black / Silver
Gigabyte,Gigabyte B650E AORUS ELITE X AX ICE,209.0,28215.0,,AM5,,ATX,192,4,,,Silver / White
MSI,MSI PRO B840-P WIFI,159.99,21598.65,,AM5,,ATX,256,4,,,Silver
ASRock,ASRock B550M-ITX/ac,99.99,13498.65,,AM4,,Mini ITX,64,2,,,Silver / Black
Gigabyte,Gigabyte X870E AORUS MASTER,499.99,67498.65,,AM5,,ATX,256,4,,,Black
ASRock,ASRock B850 Pro-A,139.99,18898.65,,AM5,,ATX,256,4,,,Black / Silver
ASRock,ASRock B760M-H2/M.2,153.88,20773.8,,LGA1700,,Micro ATX,96,2,,,Black / Silver
Asus,Asus ROG STRIX B850-E GAMING WIFI,339.0,45765.0,,AM5,,ATX,256,4,,,Black
MSI,MSI MAG B650M MORTAR WIFI,198.99,26863.65,,AM5,,Micro ATX,192,4,,,Black
ASRock,ASRock B650M Pro X3D WiFi,139.99,18898.65,,AM5,,Micro ATX,256,4,,,Black / Silver
MSI,MSI PRO X870-P WIFI,273.0,36855.0,,AM5,,ATX,256,4,,,Black / Silver
Asus,Asus PRIME B550-PLUS AC-HES,129.99,17548.65,,AM4,,ATX,128,4,,,Silver / Black
Asus,Asus PRIME X870-P WIFI,219.99,29698.65,,AM5,,ATX,192,4,,,Black / Silver
Gigabyte,Gigabyte B650M AORUS ELITE AX,199.99,26998.65,,AM5,,Micro ATX,192,4,,,Black
ASRock,ASRock B550 Phantom Gaming-ITX/ax,149.99,20248.65,,AM4,,Mini ITX,64,2,,,Silver / Black
Asus,Asus Z790-AYW WIFI W II,189.99,25648.65,,LGA1700,,ATX,192,4,,,White
ASRock,ASRock B850M Riptide WiFi,169.99,22948.65,,AM5,,Micro ATX,256,4,,,Black
Gigabyte,Gigabyte B760M DS3H DDR4,109.99,14848.65,,LGA1700,,Micro ATX,128,4,,,Black
Asus,Asus TUF GAMING B760M-PLUS WIFI II,263.77,35608.95,,LGA1700,,Micro ATX,192,4,,,Black / Orange
Gigabyte,Gigabyte B650M AORUS ELITE AX ICE,199.99,26998.65,,AM5,,Micro ATX,192,4,,,Silver
Asus,Asus PRIME H610I-PLUS D4-CSM,112.99,15253.65,,LGA1700,,Mini ITX,64,2,,,Silver / Black
Asus,Asus PRIME B760M-A AX,131.74,17784.9,,LGA1700,,Micro ATX,128,4,,,Silver / Black
Gigabyte,Gigabyte B550M DS3H,137.64,18581.4,,AM4,,Micro ATX,128,4,,,Black / Gold
MSI,MSI PRO B650-P WIFI,169.99,22948.65,,AM5,,ATX,192,4,,,Black
ASRock,ASRock B650M-H/M.2+,99.99,13498.65,,AM5,,Micro ATX,96,2,,,Silver / Black
ASRock,ASRock X870 Steel Legend WiFi,259.99,35098.65,,AM5,,ATX,256,4,,,White
Asus,Asus ROG MAXIMUS Z790 DARK HERO,999.99,134998.65,,LGA1700,,ATX,192,4,,,Black
Gigabyte,Gigabyte Z790 AORUS ELITE X WIFI7,239.99,32398.65,,LGA1700,,ATX,192,4,,,Black
ASRock,ASRock H610M/ac,89.99,12148.65,,LGA1700,,Micro ATX,64,2,,,Silver / Black
Gigabyte,Gigabyte B650I AORUS ULTRA,237.0,31995.0,,AM5,,Mini ITX,96,2,,,Black / Silver
Gigabyte,Gigabyte A620M S2H,110.82,14960.7,,AM5,,Micro ATX,96,2,,,Gray / Black
Gigabyte,Gigabyte Z890 EAGLE WIFI7,224.27,30276.45,,LGA1851,,ATX,256,4,,,Silver / Black
Asus,Asus ROG STRIX B450-F GAMING II,269.27,36351.45,,AM4,,ATX,128,4,,,Black
Asus,Asus ROG STRIX X870-F GAMING WIFI,419.99,56698.65,,AM5,,ATX,192,4,,,Black
Gigabyte,Gigabyte B450M DS3H,153.26,20690.1,,AM4,,Micro ATX,128,4,,,Black / Silver
Asus,Asus PRIME B840-PLUS WIFI,149.99,20248.65,,AM5,,ATX,192,4,,,Silver / Black
ASRock,ASRock B850 LiveMixer WiFi,189.99,25648.65,,AM5,,ATX,256,4,,,Silver / Black
Asus,Asus TUF GAMING B550M-PLUS WIFI II,199.99,26998.65,,AM4,,Micro ATX,128,4,,,Black / Gray
ASRock,ASRock B450M PRO4 R2.0,99.99,13498.65,,AM4,,Micro ATX,128,4,,,Gray / Black
ASRock,ASRock B660M Pro RS,107.99,14578.65,,LGA1700,,Micro ATX,128,4,,,Gray / Black
ASRock,ASRock A620M Pro RS WiFi,148.93,20105.55,,AM5,,Micro ATX,256,4,,,Silver / Black
Asus,Asus ROG STRIX X670E-E GAMING WIFI,384.0,51840.0,,AM5,,ATX,192,4,,,Black / Silver
ASRock,ASRock H510M-HDV/M.2 SE,94.31,12731.85,,LGA1200,,Micro ATX,64,2,,,Black / Silver
Asus,Asus ROG STRIX B550-F GAMING,219.99,29698.65,,AM4,,ATX,128,4,,,Black
ASRock,ASRock B550M-HDV,89.99,12148.65,,AM4,,Micro ATX,64,2,,,Black
MSI,MSI PRO Z890-P WIFI,189.99,25648.65,,LGA1851,,ATX,256,4,,,Black / Silver
MSI,MSI PRO B650-A WIFI,169.99,22948.65,,AM5,,ATX,256,4,,,Black / Silver
ASRock,ASRock B850M-X WiFi,124.99,16873.65,,AM5,,Micro ATX,128,2,,,Black / White
Gigabyte,Gigabyte B550M AORUS ELITE,134.0,18090.0,,AM4,,Micro ATX,128,4,,,Black / Orange
ASRock,ASRock Phantom Gaming X870 Riptide WiFi,249.99,33748.65,,AM5,,ATX,256,4,,,Black / Purple
Asus,Asus PRIME B650M-A WIFI II,237.07,32004.45,,AM5,,Micro ATX,192,4,,,Black / Silver
MSI,MSI MPG B850 EDGE TI WIFI,309.99,41848.65,,AM5,,ATX,256,4,,,Silver / White
MSI,MSI PRO B760M-A WIFI DDR4,154.99,20923.65,,LGA1700,,Micro ATX,128,4,,,Black
Gigabyte,Gigabyte B550M GAMING X WIFI6,154.99,20923.65,,AM4,,Micro ATX,128,4,,,Gray / Black
MSI,MSI B650M PROJECT ZERO,229.99,31048.65,,AM5,,Micro ATX,256,4,,,Silver / Black
Gigabyte,Gigabyte B760 GAMING X AX,239.94,32391.9,,LGA1700,,ATX,192,4,,,Black / Gray
Asus,Asus ROG STRIX B450-F GAMING,129.99,17548.65,,AM4,,ATX,128,4,,,Black
Asus,Asus B760M-AYW WIFI D4 II,99.99,13498.65,,LGA1700,,Micro ATX,64,2,,,Black / Silver
ASRock,ASRock X870E Taichi Lite,299.99,40498.65,,AM5,,EATX,256,4,,,Black / Silver
MSI,MSI MPG Z790 CARBON MAX WIFI II,469.99,63448.65,,LGA1700,,ATX,256,4,,,Black
NZXT,NZXT N9 X870E,459.99,62098.65,,AM5,,ATX,192,4,,,Black
Asus,Asus ROG CROSSHAIR X870E APEX,749.99,101248.65,,AM5,,ATX,128,2,,,Black
Asus,Asus ROG STRIX Z890-E GAMING WIFI,424.0,57240.0,,LGA1851,,ATX,192,4,,,Black
Asus,Asus TUF GAMING X670E-PLUS WIFI,235.99,31858.65,,AM5,,ATX,192,4,,,Black / Orange
Gigabyte,Gigabyte B650I AX,223.75,30206.25,,AM5,,Mini ITX,96,2,,,Black
Asus,Asus ROG STRIX Z790-E GAMING WIFI,399.99,53998.65,,LGA1700,,ATX,192,4,,,Black
Gigabyte,Gigabyte B650 GAMING X AX,166.63,22495.05,,AM5,,ATX,192,4,,,Black / Gray
ASRock,ASRock B660M-HDV,107.51,14513.85,,LGA1700,,Micro ATX,64,2,,,Gray / Black
Gigabyte,Gigabyte X670 AORUS ELITE AX,239.99,32398.65,,AM5,,ATX,192,4,,,Black
MSI,MSI PRO B850M-P WIFI,179.99,24298.65,,AM5,,Micro ATX,256,4,,,Black / Silver
Gigabyte,Gigabyte B450M K,99.95,13493.25,,AM4,,Micro ATX,64,2,,,Brown / Silver
Gigabyte,Gigabyte X870E AORUS ELITE WIFI7 ICE,329.99,44548.65,,AM5,,ATX,256,4,,,White
Gigabyte,Gigabyte X870E AORUS XTREME AI TOP,799.99,107998.65,,AM5,,EATX,256,4,,,Black
ASRock,ASRock B860I WiFi,159.99,21598.65,,LGA1851,,Mini ITX,128,2,,,Black
Asus,Asus TUF GAMING B650-PLUS,159.99,21598.65,,AM5,,ATX,128,4,,,Black / Orange
Gigabyte,Gigabyte B650M S2H,147.47,19908.45,,AM5,,Micro ATX,96,2,,,Black / Gray
MSI,MSI B550M PRO-VDH,153.09,20667.15,,AM4,,Micro ATX,128,4,,,Black
ASRock,ASRock B450M Steel Legend,92.67,12510.45,,AM4,,Micro ATX,64,4,,,Black / White
MSI,MSI MAG Z790 TOMAHAWK MAX WIFI,248.43,33538.05,,LGA1700,,ATX,192,4,,,Black / Yellow
ASRock,ASRock B850 Pro-A WiFi,177.99,24028.65,,AM5,,ATX,256,4,,,Black / Silver
NZXT,NZXT N9 X870E,459.99,62098.65,,AM5,,ATX,192,4,,,White
ASRock,ASRock B850M Pro RS,149.99,20248.65,,AM5,,Micro ATX,256,4,,,Silver / Black
Asus,Asus B650E MAX GAMING WIFI,169.99,22948.65,,AM5,,ATX,192,4,,,Black / Silver
Asus,Asus TUF GAMING B850-BTF WIFI W,279.99,37798.65,,AM5,,ATX,256,4,,,White / Silver
ASRock,ASRock H610M-HDV/M.2+ D5,89.57,12091.95,,LGA1700,,Micro ATX,96,2,,,White / Black
MSI,MSI PRO B650M-B,154.86,20906.1,,AM5,,Micro ATX,96,2,,,Black
MSI,MSI B450M PRO-VDH MAX,110.0,14850.0,,AM4,,Micro ATX,64,4,,,Black / Silver
Asus,Asus PRIME B650-PLUS,174.02,23492.7,,AM5,,ATX,192,4,,,Black / Silver
Asus,Asus PRIME Z790-P WIFI,249.99,33748.65,,LGA1700,,ATX,192,4,,,Black / Silver
Gigabyte,Gigabyte Z890 AORUS ELITE WIFI7,245.4,33129.0,,LGA1851,,ATX,256,4,,,Black
Asus,Asus TUF GAMING Z890-PLUS WIFI,260.0,35100.0,,LGA1851,,ATX,192,4,,,Black
ASRock,ASRock B850M-X,111.98,15117.3,,AM5,,Micro ATX,128,2,,,Black / White
Asus,Asus ROG STRIX B650E-E GAMING WIFI,404.73,54638.55,,AM5,,ATX,192,4,,,Black
Gigabyte,Gigabyte B850M DS3H,154.99,20923.65,,AM5,,Micro ATX,256,4,,,Gray / Black
ASRock,ASRock B650M PG RIPTIDE WIFI,185.99,25108.65,,AM5,,Micro ATX,256,4,,,Black
MSI,MSI X870E GAMING PLUS WIFI,329.99,44548.65,,AM5,,ATX,256,4,,,Black
Gigabyte,Gigabyte Z790 AORUS PRO X,329.99,44548.65,,LGA1700,,ATX,192,4,,,Silver
Gigabyte,Gigabyte B650M D3HP,169.44,22874.4,,AM5,,Micro ATX,192,4,,,Black
Asus,Asus TUF GAMING A620M-PLUS WIFI,155.99,21058.65,,AM5,,Micro ATX,192,4,,,Black / Orange
Asus,Asus ProArt Z890-CREATOR WIFI,489.99,66148.65,,LGA1851,,ATX,256,4,,,Black / Gold
ASRock,ASRock B550 Phantom Gaming 4,99.99,13498.65,,AM4,,ATX,128,4,,,Silver / Black
