brand,name,price_usd,price_bdt,image_url,wattage,efficiency_rating,modular,form_factor,color
MSI,MSI MAG A650BE,69.98,9447.3,,650,bronze,Semi,ATX,Black
Corsair,Corsair RM850e (2025),129.99,17548.65,,850,,Full,ATX,White
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),129.9,17536.5,,750,gold,Full,ATX,Black
Lian,Lian Li EDGE GOLD,109.99,14848.65,,850,gold,Full,ATX,Black
Cooler Master,Cooler Master V750 SFX GOLD,139.99,18898.65,,750,gold,Full,SFX,Black
Apevia,Apevia Galaxy,69.98,9447.3,,850,gold,Semi,ATX,Black
SAMA,SAMA GT,74.99,10123.65,,750,gold,Full,ATX,White
MSI,MSI MAG A1000GL PCIE5,179.69,24258.15,,1000,gold,Full,ATX,Black
EVGA,EVGA 400 N1,46.25,6243.75,,400,,false,ATX,
Vetroo,Vetroo 50315153244479,89.99,12148.65,,850,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF A3 Snow,129.99,17548.65,,850,gold,Full,ATX,White
Corsair,Corsair HX1500i (2025),348.99,47113.65,,1500,platinum,Full,ATX,Black
NZXT,NZXT C1000 (2024),164.99,22273.65,,1000,gold,Full,ATX,Black
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),186.98,25242.3,,1000,gold,Full,ATX,Black
Vetroo,Vetroo 50315153277247,89.99,12148.65,,850,gold,Full,ATX,White
NZXT,NZXT C1200 (2024),199.99,26998.65,,1200,gold,Full,ATX,Black
Thermaltake,Thermaltake Smart BM3,69.98,9447.3,,650,bronze,Semi,ATX,Black
be quiet!,be quiet! Power Zone 2,163.41,22060.35,,850,platinum,Full,ATX,Black
be quiet!,be quiet! Pure Power 12 M,94.9,12811.5,,650,gold,Full,ATX,Black
be quiet!,be quiet! Pure Power 11,136.76,18462.6,,400,gold,false,ATX,Black
Lian,Lian Li SP850,138.99,18763.65,,850,gold,Full,SFX,Black
ASRock,ASRock Challenger CL-750G,69.99,9448.65,,750,gold,false,ATX,Black
Asus,Asus ROG Strix,229.99,31048.65,,1000,platinum,Full,ATX,Black
SeaSonic,SeaSonic PRIME TX-1600 ATX 3.1,550.99,74383.65,,1600,titanium,Full,ATX,Black / Silver
MSI,MSI MEG Ai1300P PCIE5,386.99,52243.65,,1300,platinum,Full,ATX,Black / Copper
EVGA,EVGA SuperNOVA 1000 P5,175.41,23680.35,,1000,platinum,Full,ATX,Blue / Black
be quiet!,be quiet! Straight Power 12,199.9,26986.5,,1000,platinum,Full,ATX,Black
Montech,Montech APX,49.8,6723.0,,650,plus,false,ATX,Black
Apevia,Apevia Prestige,66.98,9042.3,,800,gold,false,ATX,Black
EVGA,EVGA 750 N1,69.98,9447.3,,750,,false,ATX,
Corsair,Corsair HX1000i (2023),259.99,35098.65,,1000,platinum,Full,ATX,Black
Corsair,Corsair RM1200x SHIFT,229.99,31048.65,,1200,gold,Full / Side,ATX,Black
Cooler Master,Cooler Master MWE Gold 750 V3,99.99,13498.65,,750,gold,Full,ATX,Black
Super Flower,Super Flower Leadex Titanium,849.99,114748.65,,2800,titanium,Full,ATX,Black
EVGA,EVGA SuperNOVA 850 GT,129.98,17547.3,,850,gold,Full,ATX,Black
Corsair,Corsair HX1200i (2025),344.99,46573.65,,1200,platinum,Full,ATX,Black
Cooler Master,Cooler Master MWE Gold 850 V3,107.5,14512.5,,850,gold,Full,ATX,Black
Asus,Asus TUF Gaming 750G,126.49,17076.15,,750,gold,Full,ATX,Black
EVGA,EVGA 500 W1,72.0,9720.0,,500,plus,false,ATX,
MSI,MSI MEG Ai-T PCIE5,687.99,92878.65,,1600,titanium,Full,ATX,Black / Gold
EVGA,EVGA 1000 GQ,128.94,17406.9,,1000,gold,Semi,ATX,
Thermaltake,Thermaltake Smart BM3,79.98,10797.3,,750,bronze,Semi,ATX,Black
Montech,Montech CENTURY II,129.9,17536.5,,1200,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF A3 Snow,169.99,22948.65,,1050,gold,Full,ATX,White
Corsair,Corsair RM1200e,199.99,26998.65,,1200,gold,Full,ATX,Black
be quiet!,be quiet! Straight Power 12,226.21,30538.35,,1200,platinum,Full,ATX,Black
Corsair,Corsair RM750x (2018),183.88,24823.8,,750,gold,Full,ATX,Black
Apevia,Apevia Premier,54.99,7423.65,,650,gold,Semi,ATX,Black
Corsair,Corsair RM1000x SHIFT,199.99,26998.65,,1000,gold,Full / Side,ATX,White
SeaSonic,SeaSonic PRIME TX-1600 Noctua Edition,654.0,88290.0,,1600,titanium,Full,ATX,Brown / Black
Asus,Asus Prime AP-750G,119.99,16198.65,,750,gold,Full,ATX,White / Black
Corsair,Corsair RM850x SHIFT,179.99,24298.65,,850,gold,Full / Side,ATX,Black
be quiet!,be quiet! Pure Power 12 M,169.9,22936.5,,1200,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF1 (2024),99.99,13498.65,,750,gold,Full,ATX,Black
Corsair,Corsair RM1000x,248.97,33610.95,,1000,gold,Full,ATX,
ASRock,ASRock Steel Legend SL-750G,89.99,12148.65,,750,gold,Full,ATX,Black
Corsair,Corsair RM850x SHIFT,169.99,22948.65,,850,gold,Full / Side,ATX,White
Cooler Master,Cooler Master V SFX Platinum,207.49,28011.15,,1100,platinum,Full,SFX,Black
Segotep,Segotep GM,94.99,12823.65,,850,gold,Full,ATX,Black
Silverstone,Silverstone SFX,127.25,17178.75,,500,gold,Full,SFX,Black
CoolMax,CoolMax V-400,24.99,3373.65,,400,,false,ATX,
Gigabyte,Gigabyte AORUS ELITE P850,164.99,22273.65,,850,platinum,Full,ATX,Black
Asus,Asus Prime AP-850G,139.99,18898.65,,850,gold,Full,ATX,White / Black
Lian,Lian Li SP850,144.99,19573.65,,850,gold,Full,SFX,White
MSI,MSI MPG A1000GS PCIE5,149.99,20248.65,,1000,gold,Full,ATX,Black
EVGA,EVGA SuperNOVA 750 GT,115.98,15657.3,,750,gold,Full,ATX,Black
MSI,MSI MAG A1250GL PCIE5,209.99,28348.65,,1250,gold,Full,ATX,Black
be quiet!,be quiet! Dark Power Pro 13,399.9,53986.5,,1300,titanium,Full,ATX,Black
Gigabyte,Gigabyte UD-GM PG5,146.72,19807.2,,750,gold,Full,ATX,Black
SeaSonic,SeaSonic VERTEX GX-1000,199.99,26998.65,,1000,gold,Full,ATX,Black / Silver
Corsair,Corsair RM650 (2019),229.99,31048.65,,650,gold,Full,ATX,Black
CoolMax,CoolMax I-500,26.14,3528.9,,500,,false,ATX,
Montech,Montech APX,54.9,7411.5,,750,plus,false,ATX,Black
SeaSonic,SeaSonic CORE GX ATX 3 (2024),99.98,13497.3,,650,gold,Full,ATX,Black
SeaSonic,SeaSonic VERTEX PX-1200,319.99,43198.65,,1200,platinum,Full,ATX,Black / Silver
Thermaltake,Thermaltake Toughpower GF A3 - TT Premium Edition,136.72,18457.2,,1050,gold,Full,ATX,Black
Asus,Asus ROG LOKI,239.99,32398.65,,850,platinum,Full,SFX,White / Silver
Lian,Lian Li EDGE GOLD,475.18,64149.3,,1000,gold,Full,ATX,White
EVGA,EVGA 700 BR,94.46,12752.1,,700,bronze,false,ATX,
Corsair,Corsair RM1000x SHIFT,214.99,29023.65,,1000,gold,Full / Side,ATX,Black
Apevia,Apevia Galaxy,79.98,10797.3,,1000,gold,Semi,ATX,Black
be quiet!,be quiet! SFX L Power,142.05,19176.75,,500,gold,Full,SFX,Black
be quiet!,be quiet! Pure Power 13 M,134.9,18211.5,,850,gold,Full,ATX,Black
Rosewill,Rosewill CMG850,79.99,10798.65,,850,gold,Full,ATX,Black
EVGA,EVGA 750 GQ,123.03,16609.05,,750,gold,Semi,ATX,
MSI,MSI MPG A850GS PCIE5,129.99,17548.65,,850,gold,Full,ATX,Black
be quiet!,be quiet! Power Zone 2,194.99,26323.65,,1000,platinum,Full,ATX,Black
be quiet!,be quiet! Power Zone 2,129.9,17536.5,,750,platinum,Full,ATX,Black
be quiet!,be quiet! Dark Power 13,239.9,32386.5,,850,titanium,Full,ATX,Black
ASRock,ASRock Taichi TC-1650T,518.99,70063.65,,1650,titanium,Full,ATX,Black / Silver
be quiet!,be quiet! Straight Power 12,237.56,32070.6,,1500,platinum,Full,ATX,Black
SeaSonic,SeaSonic FOCUS GX,175.26,23660.1,,750,gold,Full,ATX,Black
ADATA,ADATA XPG CYBERCORE,129.99,17548.65,,1000,platinum,Full,ATX,Black / Silver
ASRock,ASRock Steel Legend SL-850G,99.99,13498.65,,850,gold,Full,ATX,Black
Apevia,Apevia ATX-ES700-RGB,48.99,6613.65,,700,,Semi,ATX,Black
ADATA,ADATA XPG PYLON,81.93,11060.55,,650,bronze,false,ATX,Black
