cpu_name,microarchitecture,socket,tdp,core_count
Intel Core i5-3570K,Ivy Bridge,LGA1155,77,4
AMD Ryzen 9 PRO 7945,Zen 4,AM5,65,12
Intel Core i7-4790K,Haswell Refresh,LGA1150,88,4
Intel Core i3-4130,Haswell,LGA1150,54,2
Intel Core i5-4690,Haswell Refresh,LGA1150,84,4
Intel Core i5-8400,Coffee Lake,LGA1151,65,6
AMD Threadripper 1950X,Zen,AM4,180,16
Intel Core i7-5820K,Haswell,LGA1150,140,6
Intel Core i5-6600,Skylake,LGA1151,65,4
Intel Core i7-8700,Coffee Lake,LGA1151,65,6
Intel Celeron G6900,Alder Lake,LGA1700,46,2
AMD EPYC 4244P,Zen 4,AM5,65,6
